Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0,85.6628,9.2016,305,0.265996,34,0,0,0
0.03333333,60.849,12.6,274,0.272996,43,0,1,0
0.06666666,52.5211,12.3984,264,0.279884,48,0,1,0
0.09999999,55.5053,12.3984,279,0.286772,48,0,1,0
0.13333332,58.2507,13.3992,305,0.294216,50,0,1,0
0.16666665,61.9803,14.4,344,0.302216,53,0,1,0
0.19999998,56.9607,14.6016,340,0.310328,57,0,1,0
0.23333331,51.7372,19.2024,363,0.320996,67,0,1,0
0.26666664,35.6842,19.8,284,0.331996,76,0,1,0
0.29999997,28.7703,20.2032,235,0.34322,78,0,1,0
0.3333333,28.7703,20.2032,235,0.354444,78,0,1,0
0.36666663,57.6882,18,441,0.364444,73,0,1,0
0.39999996,55.4966,17.2008,401,0.374,69,0,1,0
0.43333329,38.5692,20.5992,311,0.385444,77,0,1,0
0.46666662,27.9317,20.3976,234,0.396776,80,0,1,0
0.49999995,32.7063,20.5992,274,0.40822,80,0,1,0
0.53333328,33.4225,20.2032,280,0.419444,80,0,2,0
0.56666661,37.481,21.8016,314,0.431556,80,0,2,0
0.59999994,24.1245,26.4024,240,0.446224,95,0,2,0
0.63333327,30.9865,22.3992,318,0.458668,98,0,2,0
0.6666666,45.1003,20.8008,392,0.470224,83,0,2,0
0.69999993,48.4906,19.0008,391,0.48078,77,0,2,0
0.73333326,52.5211,18.2016,396,0.490892,72,0,2,0
0.76666659,56.4654,17.7984,408,0.50078,69,0,2,0
0.79999992,56.4654,17.7984,408,0.510668,69,0,2,0
0.83333325,57.2958,18,420,0.520668,70,0,2,0
0.86666658,58.5413,17.7984,423,0.530556,69,0,2,0
0.89999991,57.2958,17.4024,408,0.540224,68,0,2,0
0.93333324,55.5855,16.9992,390,0.549668,67,0,2,0
0.96666657,50.0615,16.9992,346,0.559112,66,0,2,0
0.9999999,46.8913,17.4024,329,0.56878,67,0,3,0
1.03333323,48.565,19.0008,356,0.579336,70,0,3,0
1.06666656,42.2716,21.0024,332,0.591004,75,0,3,0
1.09999989,0,19.3968,0,0.60178,0,0,3,0
1.13333322,0,17.5968,0,0.611556,91,0,3,0
1.16666655,32.0182,18,228,0.621556,68,0,3,0
1.19999988,47.9852,22.1976,402,0.633888,80,0,3,0
1.23333321,32.3207,24.7968,308,0.647664,91,0,3,0
1.26666654,24.5131,25.9992,249,0.662108,97,0,3,0
1.29999987,0,25.2,0,0.676108,0,0,3,0
1.3333332,0,24.7968,0,0.689884,0,0,3,0
1.36666653,5.96831,24.1992,20,0.703328,32,0,3,0
1.39999986,35.8335,27.2016,379,0.71844,101,0,3,0
1.43333319,0,26.5968,0,0.733216,0,0,3,0
1.46666652,0,25.9992,0,0.74766,0,0,3,0
1.49999985,0,24.9984,0,0.761548,0,0,3,0
1.53333318,40.107,26.4024,420,0.776216,100,0,3,0
1.56666651,32.0712,28.2024,356,0.791884,106,0,3,0
1.59999984,28.4569,29.5992,298,0.808328,100,0,3,0
1.63333317,40.0848,31.6008,361,0.825884,86,0,3,0
1.6666665,13.0507,31.9968,41,0.84366,30,0,3,0
1.69999983,37.0677,33.1992,361,0.862104,93,0,3,0
1.73333316,31.5416,35.5968,327,0.88188,99,0,3,0
1.76666649,25.9195,38.5992,285,0.903324,105,0,3,0
1.79999982,32.1436,41.9976,377,0.926656,112,0,3,0
1.83333315,0,45,0,0.951656,0,0,3,0
1.86666648,0,47.3976,0,0.977988,0,0,3,0
1.89999981,0,49.9968,0,1.00576,0,0,3,0
1.93333314,0,52.2,0,1.03476,0,0,3,0
1.96666647,0,54.2016,0,1.06488,0,0,3,0
1.9999998,0,56.0016,0,1.09599,0,0,3,0
2.03333313,0,57.3984,0,1.12788,0,0,3,0
2.06666646,0,58.6008,0,1.16043,0,0,3,0
2.09999979,0,59.9976,0,1.19376,0,0,3,0
2.13333312,0,61.4016,0,1.22788,0,0,3,0
2.16666645,0,62.2008,0,1.26243,0,0,3,0
2.19999978,0,64.5984,0,1.29832,0,0,3,0
2.23333311,0,66.3984,0,1.33521,0,0,3,0
2.26666644,0,67.8024,0,1.37288,0,0,3,0
2.29999977,0,68.9976,0,1.41121,0,0,3,0
2.3333331,0,68.4,0,1.44921,0,0,3,0
2.36666643,0,68.1984,0,1.4871,0,0,3,0
2.39999976,0,67.6008,0,1.52465,0,0,3,0
2.43333309,0,67.0032,0,1.56188,0,0,3,0
2.46666642,0,63.2016,0,1.59699,0,0,3,0
2.49999975,0,57.0024,0,1.62866,0,0,3,0
2.53333308,0,49.1976,0,1.65599,0,0,3,0
2.56666641,0,48.0024,0,1.68266,0,0,3,0
2.59999974,0,49.6008,0,1.71021,0,0,3,0
2.63333307,0,49.6008,0,1.73777,0,0,3,0
2.6666664,0,47.3976,0,1.7641,0,0,3,0
2.69999973,9.87484,45.7992,91,1.78954,88,0,3,0
2.73333306,0,41.1984,0,1.81243,0,0,3,0
2.76666639,0,36.5976,0,1.83276,0,0,3,0
2.79999972,0,35.7984,0,1.85265,0,0,3,0
2.83333305,51.1887,36.2016,461,1.87276,86,0,3,0
2.86666638,44.2341,36,403,1.89276,87,0,3,0
2.89999971,31.0627,34.9992,283,1.91221,87,0,3,0
2.93333304,0,33.9984,0,1.9311,0,0,3,0
2.96666637,25.0378,32.6016,215,1.94921,82,0,3,0
2.9999997,0,23.9976,0,1.96254,0,0,3,0
3.03333303,0,20.2032,0,1.97376,0,0,3,0
3.06666636,71.6197,26.5968,435,1.98854,58,0,3,0
3.09999969,45.8089,30.6,331,2.00554,69,0,3,0
3.13333302,46.8784,33.7968,378,2.02432,77,0,3,0
3.16666635,38.3122,36,333,2.04432,83,0,3,0
3.19999968,27.3603,38.8008,255,2.06587,89,0,3,0
3.23333301,20.0129,39.6,197,2.08787,94,0,3,0
3.26666634,25.0425,41.9976,257,2.1112,98,0,3,0
3.29999967,21.5568,42.6024,228,2.13487,101,0,3,0
3.333333,38.7818,44.2008,398,2.15943,98,0,3,0
3.36666633,39.5341,45,414,2.18443,100,0,3,0
3.39999966,24.866,44.5968,263,2.2092,101,0,3,0
3.43333299,20.0441,43.2,212,2.2332,101,0,3,0
3.46666632,0,38.5992,0,2.25465,0,0,3,0
3.49999965,0,30.3984,0,2.27154,0,0,3,0
3.53333298,0,27.5976,0,2.28687,0,0,3,0
3.56666631,49.6862,30.8016,333,2.30398,64,0,3,0
3.59999964,65.6678,35.2008,502,2.32354,73,0,3,0
3.63333297,47.7465,38.0016,410,2.34465,82,0,3,0
3.6666663,39.0653,40.3992,360,2.36709,88,0,3,0
3.69999963,29.3667,41.8032,286,2.39032,93,0,3,0
3.73333296,26.738,43.4016,266,2.41443,95,0,3,0
3.76666629,29.6747,45,289,2.43943,93,0,3,0
3.79999962,25.6637,46.2024,258,2.4651,96,0,3,0
3.83333295,26.6991,47.0016,274,2.49121,98,0,3,0
3.86666628,24.1656,46.8,248,2.51721,98,0,3,0
3.89999961,20.7551,46.3968,213,2.54298,98,0,3,0
3.93333294,25.2719,47.2032,262,2.56921,99,0,3,0
3.96666627,25.4648,47.3976,256,2.59554,96,0,3,0
3.9999996,31.6256,48.3984,308,2.62243,93,0,3,0
4.03333293,31.4924,48.1968,310,2.6492,94,0,3,0
4.06666626,24.1299,46.8,235,2.6752,93,0,3,0
4.09999959,27.0738,46.2024,258,2.70087,91,0,3,0
