Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.03333333,0,4.6008,0,8.45799,0,0,0,0
0.06666666,0,5.8032,0,8.46122,0,0,0,0
0.09999999,0,0,0,8.46122,0,0,0,0
0.13333332,0,0,0,8.46122,0,0,0,0
0.16666665,0,0,0,8.46122,0,0,0,0
0.19999998,0,0,0,8.46122,0,0,0,0
0.23333331,0,0,0,8.46122,0,0,0,0
0.26666664,0,0,0,8.46122,0,0,0,0
0.29999997,0,0,0,8.46122,0,0,0,0
0.3333333,0,0,0,8.46122,0,0,0,0
0.36666663,0,9.7992,0,8.46666,0,0,0,0
0.39999996,47.2008,14.9976,173,8.47499,35,0,0,0
0.43333329,20.3718,18.2016,96,8.4851,45,0,0,0
0.46666662,11.98,20.5992,69,8.49655,55,0,0,0
0.49999995,10.1755,22.9968,65,8.50932,61,0,0,0
0.53333328,7.02154,25.2,50,8.52332,68,0,0,0
0.56666661,5.60225,27.7992,44,8.53877,75,0,0,0
0.59999994,5.9392,29.5992,51,8.55521,82,0,0,0
0.63333327,5.59786,31.1976,51,8.57254,87,0,0,0
0.6666666,5.24687,32.1984,50,8.59043,91,0,0,0
0.69999993,7.61912,33.4008,75,8.60899,94,0,0,0
0.73333326,7.65933,33.9984,77,8.62788,96,0,0,0
0.76666659,6.30057,33.6024,64,8.64654,97,0,0,0
0.79999992,6.43321,32.6016,64,8.66466,95,0,0,0
0.83333325,8.40753,31.9968,81,8.68243,92,0,0,0
0.86666658,7.00282,31.1976,66,8.69976,90,0,0,0
0.89999991,8.68118,30.8016,80,8.71688,88,0,0,0
0.93333324,8.01263,30.1968,73,8.73365,87,0,0,0
0.96666657,7.21749,29.8008,65,8.75021,86,0,0,0
0.9999999,9.32193,29.3976,82,8.76654,84,0,0,0
1.03333323,10.004,29.3976,88,8.78287,84,0,0,0
1.06666656,11.5956,29.2032,102,8.7991,84,0,0,0
1.09999989,14.3239,29.3976,126,8.81543,84,0,0,0
1.13333322,15.5744,29.3976,137,8.83176,84,0,0,0
1.16666655,13.5937,29.5992,121,8.8482,85,0,0,0
1.19999988,12.9196,29.5992,115,8.86465,85,0,0,0
1.23333321,12.0503,29.3976,106,8.88098,84,0,0,0
1.26666654,12.6187,29.3976,111,8.89731,84,0,0,0
1.29999987,13.5282,29.3976,119,8.91364,84,0,0,0
1.3333332,12.0503,29.3976,106,8.92998,84,0,0,0
1.36666653,13.3008,29.0016,117,8.94609,84,0,0,0
1.39999986,12.3105,29.0016,107,8.9622,83,0,0,0
1.43333319,12.8858,29.0016,112,8.97831,83,0,0,0
1.46666652,12.8858,29.0016,112,8.99442,83,0,0,0
1.49999985,12.3105,29.0016,107,9.01054,83,0,0,0
1.53333318,12.4256,29.3976,108,9.02687,83,0,0,0
1.56666651,10.6861,29.3976,94,9.0432,84,0,0,0
1.59999984,12.0503,29.8008,106,9.05976,84,0,0,0
1.63333317,8.42585,29.8008,75,9.07631,85,0,0,0
1.6666665,8.98757,30.0024,80,9.09298,85,0,0,0
1.69999983,9.66033,30.0024,87,9.10965,86,0,0,0
